Track URI,Track Name,Artist Name(s),Album Name,Album Release Date,Album Image URL,Track Duration (ms),Popularity,Artist Genres,Danceability,Label
2SBQBV1atDy4tbEfGicT7u,Heartaches By The Number,Guy Mitchell,Heartaches By The Number,2009,https://i.scdn.co/image/ab67616d0000b273ee642915bf7d424d4ad73548,153901,8,deep adult standards,0.518,Vision 21 OMP
6ER7Wg69KVV8Vrb1Bln3Cr,Teach Me How to Fly,"Jeff St John, The Copperwine",70 Hits of the '70s,2016,https://i.scdn.co/image/ab67616d0000b273a6f173ddeeeca55fc54cddf3,248640,10,hammond organ,0.466,WM Australia
7zCaXeBaRwCSQ9JJvop7OL,Together We Are One - Radio Mix,Delta Goodrem,Together We Are One,2006,https://i.scdn.co/image/ab67616d0000b273a1cc359c41d495f5aad8176f,254626,26,australian pop,0.455,Epic
656xZ2pwfA1J59EMussJOK,No Secrets,The Angels,Greatest Hits,2011,https://i.scdn.co/image/ab67616d0000b273826a430afccd21d8c8bfa3ee,258959,0,australian rock,0.445,Bloodlines
3KhIpPRbkjr3p1eJkD51dj,New Romantics,Taylor Swift,1989 (Deluxe),2014,https://i.scdn.co/image/ab67616d0000b273eb4ef60f82fdc4b489ac1950,230466,0,pop,0.633,Universal Music Group
1EuI95kVxZYLbENy8d6AOI,I'm Good?,Hilltop Hoods,I'm Good?,2020,https://i.scdn.co/image/ab67616d0000b273a8d3c84f750d5fff1745217c,160186,50,australian hip hop,0.901,Universal Music Australia Pty. Ltd.
0K1ddNp1ev0zdik1EzuxkT,Well Hello,Yellowstone And Voice,The Best of Red Bus Collection,2016,https://i.scdn.co/image/ab67616d0000b2732663a0ec722e8cd0a8d0b7f6,174040,0,beatlesque,0.473,R.B Nostalgia
1HXaX12pA7jVuwUczy5UOd,Its Only the Beginning,Deborah Conway,String Of Pearls,1991,https://i.scdn.co/image/ab67616d0000b2733c15e7f740f33a81922b80f5,281640,40,australian rock,0.562,WM Australia
0cVyQfDyRnMJ0V3rjjdlU3,Lil Boo Thang,Paul Russell,Lil Boo Thang,2023,https://i.scdn.co/image/ab67616d0000b273811b8a1d3649f63af1d5fb65,114233,79,indie r&b,0.85,Arista Records
6ZQIKSFLoonDStQchogVdC,Untouchable (Originally Performed by Taylor Swift) [Vocal Version],Musical Creations Karaoke,Untouchable (Originally Performed by Taylor Swift) [Karaoke Version],2014,https://i.scdn.co/image/ab67616d0000b273c475f58b18b4687242702a48,316212,1,karaoke,0.539,Musical Creations
1Xhz8EjC4GChCe46aR0MFy,Happenin' All Over Again - Radio,Young Divas,Young Divas,2006,https://i.scdn.co/image/ab67616d0000b2736b39fff29de478c2a2e8b189,208346,23,australian pop,0.617,Sony BMG Music Entertainment
40rOKDgEB0PoedLUQELRFi,Hidden Agenda - New Mix,Craig David,Greatest Hits (French Standard DMD),2008,https://i.scdn.co/image/ab67616d0000b273a407867b5c9f81b349e3312c,252600,0,british soul,0.705,WM UK
6F5c58TMEs1byxUstkzVeM,Roar,Katy Perry,PRISM (Deluxe),2013,https://i.scdn.co/image/ab67616d0000b27347f930accd8ac01686401fa2,223546,70,pop,0.671,Capitol Records (CAP)
4V9JDRqKjN8F2HWdlEDxvI,Harder To Breathe,Maroon 5,Songs About Jane: 10th Anniversary Edition,2002,https://i.scdn.co/image/ab67616d0000b27392f2d790c6a97b195f66d51e,173693,64,pop,0.662,Interscope Records*
0uOKq55dztn2zNxpORp9F2,The Nips Are Getting Bigger,Mental As Anything,Get Wet,1979,https://i.scdn.co/image/ab67616d0000b27354b6fdc4237aac6a36984065,200666,51,australian rock,0.825,Universal Music Australia Pty. Ltd.
2QLEN3RVunMas7j0PHjeAT,C'mon N' Ride It (The Train),Quad City DJ's,Get On Up And Dance,1996,https://i.scdn.co/image/ab67616d0000b273f6eb72342d4ff41658c37193,451440,50,miami bass,0.843,Big Beat Records/Atlantic
070QivFOnOdtVznpnrUMCO,Bad Habits,Billy Field,Underbelly - A Tale of Two Cities,2009,https://i.scdn.co/image/ab67616d0000b2735e5a4f7174a63752a5a578de,208253,0,australian rock,0.565,Level Two Music
3RauEVgRgj1IuWdJ9fDs70,The Man,Taylor Swift,Lover,2019,https://i.scdn.co/image/ab67616d0000b273e787cffec20aa2a396a61647,190360,79,pop,0.777,Taylor Swift
6XrWIKoIwqomse4ZmBnjQd,Life Goes On,E^ST,Life Goes On,2017,https://i.scdn.co/image/ab67616d0000b273f937fcfe85c48f3939f886af,210455,44,australian indie,0.701,WM Australia
0ZUjPkZKjzRi6bgIuJovfY,How Can We Be Lovers,Michael Bolton,Soul Provider,1989,https://i.scdn.co/image/ab67616d0000b273e29b51efdf81e17c63880ef0,235626,52,soft rock,0.399,Columbia
3PfERRzizJqTx0fuRmBgtH,You're so Vain,Chocolate Starfish,Chocolate Starfish,2017,https://i.scdn.co/image/ab67616d0000b273d7523cde1c32f5ecd7447b6c,249160,34,australian rock,0.674,Chocolate Starfish
0QdePZJfBpRIBautuT4FSx,Angels Like You,Miley Cyrus,Plastic Hearts,2020,https://i.scdn.co/image/ab67616d0000b27350061ccded678a361a2009ec,196453,54,pop,0.672,RCA Records Label
